id,date,division,sehar_start,sehar_end,ifter
392,2024-03-13,Pabna,,04:55:00.000,18:15:00.000
393,2024-03-14,Pabna,,04:54:00.000,18:16:00.000
394,2024-03-15,Pabna,,04:53:00.000,18:16:00.000
395,2024-03-16,Pabna,,04:52:00.000,18:17:00.000
396,2024-03-17,Pabna,,04:51:00.000,18:17:00.000
397,2024-03-18,Pabna,,04:50:00.000,18:17:00.000
398,2024-03-19,Pabna,,04:49:00.000,18:18:00.000
399,2024-03-20,Pabna,,04:48:00.000,18:18:00.000
400,2024-03-21,Pabna,,04:47:00.000,18:18:00.000
401,2024-03-22,Pabna,,04:46:00.000,18:19:00.000
402,2024-03-23,Pabna,,04:45:00.000,18:19:00.000
403,2024-03-24,Pabna,,04:44:00.000,18:19:00.000
404,2024-03-25,Pabna,,04:43:00.000,18:20:00.000
405,2024-03-26,Pabna,,04:41:00.000,18:20:00.000
406,2024-03-27,Pabna,,04:40:00.000,18:21:00.000
407,2024-03-28,Pabna,,04:39:00.000,18:21:00.000
408,2024-03-29,Pabna,,04:38:00.000,18:22:00.000
409,2024-03-30,Pabna,,04:36:00.000,18:22:00.000
410,2024-03-31,Pabna,,04:35:00.000,18:23:00.000
411,2024-04-01,Pabna,,04:34:00.000,18:23:00.000
412,2024-04-02,Pabna,,04:33:00.000,18:24:00.000
413,2024-04-03,Pabna,,04:32:00.000,18:24:00.000
414,2024-04-04,Pabna,,04:31:00.000,18:24:00.000
415,2024-04-05,Pabna,,04:29:00.000,18:25:00.000
416,2024-04-06,Pabna,,04:29:00.000,18:25:00.000
417,2024-04-07,Pabna,,04:28:00.000,18:26:00.000
418,2024-04-08,Pabna,,04:27:00.000,18:26:00.000
419,2024-04-09,Pabna,,04:26:00.000,18:26:00.000
420,2024-04-10,Pabna,,04:25:00.000,18:27:00.000
421,2024-03-12,Bogra,,04:54:00.000,18:14:00.000
422,2024-03-13,Bogra,,04:53:00.000,18:14:00.000
423,2024-03-14,Bogra,,04:52:00.000,18:15:00.000
424,2024-03-15,Bogra,,04:51:00.000,18:15:00.000
425,2024-03-16,Bogra,,04:50:00.000,18:16:00.000
426,2024-03-17,Bogra,,04:49:00.000,18:16:00.000
427,2024-03-18,Bogra,,04:48:00.000,18:16:00.000
428,2024-03-19,Bogra,,04:47:00.000,18:17:00.000
429,2024-03-20,Bogra,,04:46:00.000,18:17:00.000
